"filename", "language", "JSON", "JSON with Comments", "TypeScript", "SCSS", "CSS", "HTML", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\repos\LinkinPark\src\app\home\header\header.component.css", "CSS", 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"c:\repos\LinkinPark\src\app\home\header\header.component.html", "HTML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 13, 20
"c:\repos\LinkinPark\src\app\home\header\header.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\repos\LinkinPark\src\app\home\header\header.component.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\repos\LinkinPark\src\app\home\home.component.css", "CSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\repos\LinkinPark\src\app\home\home.component.html", "HTML", 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\repos\LinkinPark\src\app\home\home.component.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\repos\LinkinPark\src\app\home\home.component.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"c:\repos\LinkinPark\src\app\home\navbar\navbar.component.html", "HTML", 0, 0, 0, 0, 0, 48, 0, 0, 0, 12, 60
"c:\repos\LinkinPark\src\app\home\navbar\navbar.component.scss", "SCSS", 0, 0, 0, 54, 0, 0, 0, 0, 2, 4, 60
"c:\repos\LinkinPark\src\app\home\navbar\navbar.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\home\navbar\navbar.component.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\repos\LinkinPark\src\app\inicio\inicio.component.html", "HTML", 0, 0, 0, 0, 0, 56, 0, 0, 0, 2, 58
"c:\repos\LinkinPark\src\app\inicio\inicio.component.scss", "SCSS", 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"c:\repos\LinkinPark\src\app\inicio\inicio.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\inicio\inicio.component.ts", "TypeScript", 0, 0, 125, 0, 0, 0, 0, 0, 7, 16, 148
"c:\repos\LinkinPark\src\app\interfaces\Icaja.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\repos\LinkinPark\src\app\interfaces\IplayaLogI.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\repos\LinkinPark\src\app\interfaces\clientes.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\repos\LinkinPark\src\app\interfaces\consulta-facturacion.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 5, 11
"c:\repos\LinkinPark\src\app\interfaces\empresa.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\repos\LinkinPark\src\app\interfaces\fechas.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\repos\LinkinPark\src\app\interfaces\playaI.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\repos\LinkinPark\src\app\interfaces\tarifas.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"c:\repos\LinkinPark\src\app\interfaces\vehiculo.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\repos\LinkinPark\src\app\logs\logs.component.html", "HTML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 4, 29
"c:\repos\LinkinPark\src\app\logs\logs.component.scss", "SCSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\repos\LinkinPark\src\app\logs\logs.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"c:\repos\LinkinPark\src\app\logs\logs.component.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 3, 6, 44
"c:\repos\LinkinPark\src\app\ocupacion\ocupacion.component.css", "CSS", 0, 0, 0, 0, 158, 0, 0, 0, 0, 3, 161
"c:\repos\LinkinPark\src\app\ocupacion\ocupacion.component.html", "HTML", 0, 0, 0, 0, 0, 17, 0, 0, 1, 2, 20
"c:\repos\LinkinPark\src\app\ocupacion\ocupacion.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\repos\LinkinPark\src\app\ocupacion\ocupacion.component.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\repos\LinkinPark\src\app\pagenotfound\pagenotfound.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\repos\LinkinPark\src\app\pagenotfound\pagenotfound.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\LinkinPark\src\app\pagenotfound\pagenotfound.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\pagenotfound\pagenotfound.component.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\repos\LinkinPark\src\app\perfil-empresa\empresa-form\empresa-form.component.html", "HTML", 0, 0, 0, 0, 0, 63, 0, 0, 27, 13, 103
"c:\repos\LinkinPark\src\app\perfil-empresa\empresa-form\empresa-form.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\LinkinPark\src\app\perfil-empresa\empresa-form\empresa-form.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\perfil-empresa\empresa-form\empresa-form.component.ts", "TypeScript", 0, 0, 109, 0, 0, 0, 0, 0, 10, 42, 161
"c:\repos\LinkinPark\src\app\perfil-empresa\perfil-empresa.component.html", "HTML", 0, 0, 0, 0, 0, 26, 0, 0, 0, 15, 41
"c:\repos\LinkinPark\src\app\perfil-empresa\perfil-empresa.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\LinkinPark\src\app\perfil-empresa\perfil-empresa.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\perfil-empresa\perfil-empresa.component.ts", "TypeScript", 0, 0, 91, 0, 0, 0, 0, 0, 25, 32, 148
"c:\repos\LinkinPark\src\app\perfil-usuario\perfil-usuario.component.html", "HTML", 0, 0, 0, 0, 0, 18, 0, 0, 1, 5, 24
"c:\repos\LinkinPark\src\app\perfil-usuario\perfil-usuario.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\LinkinPark\src\app\perfil-usuario\perfil-usuario.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\perfil-usuario\perfil-usuario.component.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 1, 12, 31
"c:\repos\LinkinPark\src\app\playa\playa-control\playa-control.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\LinkinPark\src\app\playa\playa-control\playa-control.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\playa\playa-control\playa-control.component.ts", "TypeScript", 0, 0, 136, 0, 0, 0, 0, 0, 19, 34, 189
"c:\repos\LinkinPark\src\app\playa\playa-form\playa-form.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\LinkinPark\src\app\playa\playa-form\playa-form.component.html", "HTML", 0, 0, 0, 0, 0, 65, 0, 0, 0, 3, 68
"c:\repos\LinkinPark\src\app\playa\playa-form\playa-form.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"c:\repos\LinkinPark\src\app\playa\playa-form\playa-form.component.ts", "TypeScript", 0, 0, 333, 0, 0, 0, 0, 0, 9, 34, 376
"c:\repos\LinkinPark\src\app\playa\playa-view\playa-view.component.html", "HTML", 0, 0, 0, 0, 0, 37, 0, 0, 1, 2, 40
"c:\repos\LinkinPark\src\app\playa\playa-view\playa-view.component.scss", "SCSS", 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\repos\LinkinPark\src\app\playa\playa-view\playa-view.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\playa\playa-view\playa-view.component.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 2, 16, 70
"c:\repos\LinkinPark\src\app\playa\readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 10
"c:\repos\LinkinPark\src\app\scanner\scanner.component.html", "HTML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\repos\LinkinPark\src\app\scanner\scanner.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\repos\LinkinPark\src\app\scanner\scanner.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\repos\LinkinPark\src\app\scanner\scanner.component.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\repos\LinkinPark\src\app\servicios\Fechas\calculo-fechas.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\repos\LinkinPark\src\app\servicios\Fechas\calculo-fechas.service.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 8, 23, 66
"c:\repos\LinkinPark\src\app\servicios\Fechas\calendario\custom-adapter.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\repos\LinkinPark\src\app\servicios\Fechas\calendario\custom-adapter.service.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"c:\repos\LinkinPark\src\app\servicios\Fechas\calendario\custom-date-parser-formatter.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\repos\LinkinPark\src\app\servicios\Fechas\calendario\custom-date-parser-formatter.service.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"c:\repos\LinkinPark\src\app\servicios\Fechas\calendario\ngb-time-string-adapter.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\repos\LinkinPark\src\app\servicios\Fechas\calendario\ngb-time-string-adapter.service.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"c:\repos\LinkinPark\src\app\servicios\abono\abono.service.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\repos\LinkinPark\src\app\servicios\abono\abono.service.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 0, 7, 26, 93
